noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,400,40.0,0.07739153695106506
0,30,1000,703,70.3,0.07192224025726318
0,50,1000,820,82.0,0.07596895623207092
0,70,1000,901,90.10000000000001,0.07627021384239197
0,100,908,856,94.27312775330397,0.07540745304544591
5,10,1000,381,38.1,0.07613988661766052
5,30,1000,678,67.80000000000001,0.07776878166198731
5,50,1000,787,78.7,0.07570821475982666
5,70,1000,873,87.3,0.07532941365242005
5,100,908,831,91.51982378854625,0.07618368906071532
10,10,1000,345,34.5,0.07727286195755005
10,30,1000,627,62.7,0.08102528977394104
10,50,1000,744,74.4,0.09235604310035705
10,70,1000,836,83.6,0.0959196081161499
10,100,908,817,89.97797356828194,0.20296269786515425
15,10,1000,366,36.6,0.0916593291759491
15,30,1000,610,61.0,0.08826594185829163
15,50,1000,721,72.1,0.09610196232795715
15,70,1000,804,80.4,0.07851633000373841
15,100,908,790,87.00440528634361,0.07648136515974473
20,10,1000,335,33.5,0.07627066922187806
20,30,1000,577,57.699999999999996,0.07187464809417725
20,50,1000,677,67.7,0.07720944452285766
20,70,1000,769,76.9,0.0758316376209259
20,100,908,766,84.36123348017621,0.0810151438881122
30,10,1000,304,30.4,0.07486759781837464
30,30,1000,509,50.9,0.07726423001289368
30,50,1000,618,61.8,0.07578963685035706
30,70,1000,701,70.1,0.0929506585597992
30,100,908,715,78.74449339207048,0.0900844579751271
