noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,471,47.099999999999994,0.06494319105148315
0,30,1000,777,77.7,0.06702823781967163
0,50,1000,900,90.0,0.06665881586074829
0,70,1000,963,96.3,0.06531807708740234
0,100,944,932,98.72881355932203,0.06510515435267303
5,10,1000,450,45.0,0.06647599792480469
5,30,1000,746,74.6,0.0667127583026886
5,50,1000,879,87.9,0.06406492853164673
5,70,1000,958,95.8,0.06318163132667541
5,100,944,928,98.30508474576271,0.06449453608464387
10,10,1000,440,44.0,0.06395576047897339
10,30,1000,713,71.3,0.06279521822929382
10,50,1000,864,86.4,0.06418996477127076
10,70,1000,938,93.8,0.06278290104866027
10,100,944,920,97.45762711864407,0.06568120925103203
15,10,1000,442,44.2,0.06611740517616271
15,30,1000,688,68.8,0.0638418984413147
15,50,1000,827,82.69999999999999,0.06714547133445739
15,70,1000,930,93.0,0.06753678393363953
15,100,944,918,97.2457627118644,0.06440177660877422
20,10,1000,407,40.699999999999996,0.0642378134727478
20,30,1000,685,68.5,0.06568774390220643
20,50,1000,822,82.19999999999999,0.06386544489860535
20,70,1000,897,89.7,0.06570084381103515
20,100,944,907,96.08050847457628,0.06413550498121875
30,10,1000,385,38.5,0.06452358293533325
30,30,1000,635,63.5,0.06392176103591919
30,50,1000,766,76.6,0.06519180774688721
30,70,1000,848,84.8,0.08401669383049011
30,100,944,876,92.79661016949152,0.08246645533432395
