noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,345,34.5,0.07821713519096375
0,30,1000,576,57.599999999999994,0.07539027881622315
0,50,1000,774,77.4,0.0757962999343872
0,70,1000,843,84.3,0.07715983247756958
0,100,944,868,91.94915254237289,0.07629006191835565
10,10,1000,322,32.2,0.07779980230331421
10,30,1000,549,54.900000000000006,0.07690462899208068
10,50,1000,706,70.6,0.07547443604469299
10,70,1000,792,79.2,0.07594604468345642
10,100,944,820,86.86440677966102,0.08224644575078609
20,10,1000,290,28.999999999999996,0.082795654296875
20,30,1000,510,51.0,0.08533006381988525
20,50,1000,649,64.9,0.08273922324180603
20,70,1000,737,73.7,0.08295403289794921
20,100,944,756,80.08474576271186,0.08758765181242409
30,10,1000,266,26.6,0.08306512832641602
30,30,1000,438,43.8,0.08334206223487854
30,50,1000,587,58.699999999999996,0.08708671998977661
30,70,1000,667,66.7,0.08255333614349365
30,100,944,704,74.57627118644068,0.08535732227866932
