noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,404,40.400000000000006,0.08797381925582885
0,30,1000,665,66.5,0.08703376746177674
0,50,1000,782,78.2,0.09061834788322448
0,70,1000,873,87.3,0.0923768653869629
0,100,944,857,90.78389830508475,0.09146431997670966
10,10,1000,375,37.5,0.09112813663482666
10,30,1000,591,59.099999999999994,0.09279142093658448
10,50,1000,730,73.0,0.09232387018203736
10,70,1000,828,82.8,0.0878735466003418
10,100,944,816,86.4406779661017,0.08780981221441496
20,10,1000,357,35.699999999999996,0.0905786669254303
20,30,1000,562,56.2,0.0893013973236084
20,50,1000,667,66.7,0.08835316634178161
20,70,1000,763,76.3,0.08941875171661377
20,100,944,774,81.99152542372882,0.09090692032191713
30,10,1000,327,32.7,0.09010920524597169
30,30,1000,502,50.2,0.09242099833488464
30,50,1000,611,61.1,0.09311343741416932
30,70,1000,710,71.0,0.09314954829216003
30,100,944,738,78.17796610169492,0.09021638232772633
