noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,471,47.099999999999994,0.06636430692672729
0,30,1000,777,77.7,0.06782617688179016
0,50,1000,900,90.0,0.0672684075832367
0,70,1000,963,96.3,0.06516886329650878
0,100,944,932,98.72881355932203,0.06391253410759619
10,10,996,435,43.674698795180724,0.06796454617297314
10,30,995,707,71.05527638190955,0.06485581709511914
10,50,997,861,86.35907723169508,0.0608900803381366
10,70,995,933,93.76884422110552,0.06389510547695447
10,100,942,922,97.87685774946921,0.06409442627252793
20,10,994,397,39.93963782696177,0.0634290286952581
20,30,996,665,66.76706827309236,0.06905188258871975
20,50,995,807,81.10552763819095,0.06610149474599254
20,70,996,905,90.86345381526104,0.06721198822121065
20,100,941,902,95.85547290116897,0.06419075308139975
30,10,994,392,39.436619718309856,0.06453752973429874
30,30,995,617,62.010050251256274,0.06431379270313972
30,50,997,737,73.92176529588767,0.06513823286341569
30,70,994,861,86.61971830985915,0.06558626638331884
30,100,943,864,91.62248144220572,0.06820916042348107
