noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,400,40.0,0.07351190543174743
0,30,1000,703,70.3,0.07272181177139282
0,50,1000,820,82.0,0.07174938702583313
0,70,1000,901,90.10000000000001,0.0736857089996338
0,100,908,853,93.94273127753304,0.07391974868228257
10,10,1000,375,37.5,0.07258986330032349
10,30,1000,638,63.800000000000004,0.0714372820854187
10,50,1000,758,75.8,0.07077923703193664
10,70,1000,831,83.1,0.07199917697906494
10,100,908,813,89.53744493392071,0.0723892833692912
20,10,1000,327,32.7,0.07313740181922912
20,30,1000,585,58.5,0.07180684328079223
20,50,1000,687,68.7,0.07337130045890808
20,70,1000,777,77.7,0.07226243424415589
20,100,908,729,80.2863436123348,0.07162371763573869
30,10,1000,316,31.6,0.07242223787307739
30,30,1000,531,53.1,0.0723652458190918
30,50,1000,654,65.4,0.07181834745407105
30,70,1000,692,69.19999999999999,0.06960874819755554
30,100,908,686,75.55066079295155,0.06850812928792138
