noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,462,46.2,0.07412913060188293
0,30,1000,758,75.8,0.07559843063354492
0,50,1000,870,87.0,0.07423797798156738
0,70,1000,952,95.19999999999999,0.07383139133453369
0,100,944,931,98.62288135593221,0.06956590030152919
10,10,1000,422,42.199999999999996,0.07284845185279847
10,30,1000,721,72.1,0.07370505118370056
10,50,1000,836,83.6,0.07713461828231812
10,70,1000,919,91.9,0.07679261946678162
10,100,944,910,96.39830508474576,0.07306663212129626
20,10,1000,392,39.2,0.07329149150848388
20,30,1000,668,66.8,0.07692880201339722
20,50,1000,775,77.5,0.08097511291503906
20,70,1000,875,87.5,0.08192582845687867
20,100,944,895,94.8093220338983,0.07873410011752177
30,10,1000,363,36.3,0.07647184324264526
30,30,1000,577,57.699999999999996,0.07991661620140075
30,50,1000,744,74.4,0.08282043957710267
30,70,1000,823,82.3,0.13808264780044555
30,100,944,836,88.5593220338983,0.16737520416914406
