noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,471,47.099999999999994,0.06718047857284545
0,30,1000,777,77.7,0.06997233891487122
0,50,1000,900,90.0,0.06652944660186767
0,70,1000,963,96.3,0.06671916747093201
0,100,944,932,98.72881355932203,0.06463969536757065
10,10,1000,439,43.9,0.0663588457107544
10,30,1000,727,72.7,0.06714194869995117
10,50,1000,868,86.8,0.0643863844871521
10,70,1000,933,93.30000000000001,0.06594063639640808
10,100,944,919,97.35169491525424,0.06731608358480162
20,10,1000,409,40.9,0.06675049901008606
20,30,1000,668,66.8,0.06458832216262818
20,50,1000,822,82.19999999999999,0.06734322500228881
20,70,1000,908,90.8,0.06447073078155517
20,100,944,904,95.76271186440678,0.06825847267094305
30,10,1000,393,39.300000000000004,0.06743743824958802
30,30,1000,608,60.8,0.06765062832832336
30,50,1000,789,78.9,0.06740413522720337
30,70,1000,857,85.7,0.06993249201774597
30,100,944,889,94.17372881355932,0.06913470540006282
