noise_level,observation_percentage,problem_file,correct_prediction,correct_goal_idx,predicted_goal_idx,execution_time
0,10,blocksworld_p003292_hyp=hyp-19_10.zip,False,19,14,0.31392860412597656
0,10,blocksworld_p000765_hyp=hyp-5_10.zip,False,5,15,0.06436777114868164
0,10,block-words_p02_hyp-17_10_2.tar.bz2,False,17,5,0.06315779685974121
0,10,block-words_p03_hyp-0_10_1.tar.bz2,False,0,2,0.06170821189880371
0,10,block-words_p03_hyp-16_10_0.tar.bz2,True,16,16,0.05858564376831055
0,10,blocksworld_p000338_hyp=hyp-18_10.zip,True,18,18,0.06299352645874023
0,10,blocksworld_p000837_hyp=hyp-10_10.zip,False,10,7,0.05880379676818848
0,10,blocksworld_p000826_hyp=hyp-19_10.zip,True,19,19,0.05984807014465332
0,10,blocksworld_p000909_hyp=hyp-4_10.zip,False,4,14,0.0566098690032959
0,10,blocksworld_p001659_hyp=hyp-3_10.zip,False,3,14,0.056807756423950195
0,10,blocksworld_p003088_hyp=hyp-9_10.zip,False,9,10,0.056097984313964844
0,10,block-words_p03_hyp-1_10_0.tar.bz2,False,1,2,0.05666303634643555
0,10,blocksworld_p001673_hyp=hyp-20_10.zip,False,20,0,0.058144330978393555
0,10,blocksworld_p001292_hyp=hyp-10_10.zip,False,10,16,0.056854248046875
0,10,blocksworld_p000990_hyp=hyp-18_10.zip,True,18,18,0.06424164772033691
0,10,block-words-aaai_p03_hyp-3_10_0.tar.bz2,False,3,9,0.059689998626708984
0,10,blocksworld_p001016_hyp=hyp-7_10.zip,False,7,19,0.05800342559814453
0,10,blocksworld_p002153_hyp=hyp-0_10.zip,False,0,9,0.059076547622680664
0,10,blocksworld_p001982_hyp=hyp-18_10.zip,True,18,18,0.05855154991149902
0,10,blocksworld_p000947_hyp=hyp-17_10.zip,False,17,12,0.05846142768859863
0,10,blocksworld_p003256_hyp=hyp-0_10.zip,True,0,0,0.06019163131713867
0,10,blocksworld_p000790_hyp=hyp-1_10.zip,False,1,13,0.05832386016845703
0,10,blocksworld_p003277_hyp=hyp-18_10.zip,False,18,12,0.059285879135131836
0,10,blocksworld_p003252_hyp=hyp-9_10.zip,False,9,6,0.06782150268554688
0,10,blocksworld_p003397_hyp=hyp-19_10.zip,False,19,12,0.06747937202453613
0,10,blocksworld_p002222_hyp=hyp-6_10.zip,False,6,1,0.06045126914978027
0,10,blocksworld_p001394_hyp=hyp-13_10.zip,True,13,13,0.05808234214782715
0,10,block-words_p01_hyp-14_10_0.tar.bz2,False,18,11,0.059830665588378906
0,10,blocksworld_p002343_hyp=hyp-2_10.zip,False,2,0,0.059136390686035156
0,10,blocksworld_p000181_hyp=hyp-9_10.zip,False,9,1,0.05891823768615723
0,10,blocksworld_p003174_hyp=hyp-11_10.zip,False,11,6,0.058118581771850586
0,10,blocksworld_p001752_hyp=hyp-1_10.zip,False,1,12,0.05787229537963867
0,10,blocksworld_p003233_hyp=hyp-18_10.zip,False,18,11,0.0652766227722168
0,10,block-words_p01_hyp-16_10_0.tar.bz2,False,16,14,0.062103986740112305
0,10,blocksworld_p002008_hyp=hyp-13_10.zip,True,13,13,0.06011247634887695
0,10,block-words_p02_hyp-5_10_0.tar.bz2,False,5,3,0.06279373168945312
0,10,blocksworld_p000134_hyp=hyp-12_10.zip,False,12,2,0.05847358703613281
0,10,block-words_p01_hyp-7_10_1.tar.bz2,False,5,17,0.05888700485229492
0,10,blocksworld_p001308_hyp=hyp-2_10.zip,False,2,19,0.05485987663269043
0,10,blocksworld_p003372_hyp=hyp-8_10.zip,False,8,16,0.0562136173248291
0,10,blocksworld_p000057_hyp=hyp-16_10.zip,False,16,15,0.056563377380371094
0,10,blocksworld_p000648_hyp=hyp-19_10.zip,True,19,19,0.0663909912109375
0,10,blocksworld_p000906_hyp=hyp-16_10.zip,False,16,10,0.06083273887634277
0,10,blocksworld_p001494_hyp=hyp-16_10.zip,False,16,13,0.05929684638977051
0,10,blocksworld_p000825_hyp=hyp-9_10.zip,True,9,9,0.057507991790771484
0,10,blocksworld_p000995_hyp=hyp-10_10.zip,False,10,8,0.05701017379760742
0,10,blocksworld_p000203_hyp=hyp-19_10.zip,False,19,18,0.056185007095336914
0,10,blocksworld_p001087_hyp=hyp-7_10.zip,False,7,0,0.05894875526428223
0,10,blocksworld_p001815_hyp=hyp-18_10.zip,False,18,5,0.05879092216491699
0,10,block-words_p04_hyp-2_10_1.tar.bz2,False,1,9,0.05739402770996094
0,10,blocksworld_p000242_hyp=hyp-18_10.zip,True,18,18,0.05995798110961914
0,10,blocksworld_p003114_hyp=hyp-4_10.zip,True,4,4,0.06593680381774902
