noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,229,22.900000000000002,0.06348886585235596
0,30,1000,515,51.5,0.06430354189872742
0,50,1000,712,71.2,0.0651433482170105
0,70,1000,849,84.89999999999999,0.06503443622589111
0,100,846,782,92.43498817966903,0.06347479803342346
5,10,1000,220,22.0,0.06281996297836304
5,30,1000,483,48.3,0.06530983686447143
5,50,1000,675,67.5,0.06552249956130982
5,70,1000,810,81.0,0.06229200291633606
5,100,846,762,90.0709219858156,0.06195207211424555
10,10,1000,213,21.3,0.061007339477539065
10,30,1000,460,46.0,0.06187979030609131
10,50,1000,644,64.4,0.060819283962249754
10,70,1000,783,78.3,0.06155978369712829
10,100,846,752,88.88888888888889,0.06221185508349263
15,10,1000,217,21.7,0.06204932522773743
15,30,1000,428,42.8,0.06344142532348633
15,50,1000,595,59.5,0.06174591016769409
15,70,1000,759,75.9,0.06231181764602661
15,100,846,725,85.69739952718676,0.06617217847359659
20,10,1000,189,18.9,0.06467619800567627
20,30,1000,430,43.0,0.06132142281532288
20,50,1000,565,56.49999999999999,0.062076444149017335
20,70,1000,714,71.39999999999999,0.06287063527107238
20,100,846,673,79.55082742316785,0.060496057178957244
30,10,1000,165,16.5,0.06260236930847168
30,30,1000,372,37.2,0.06120175266265869
30,50,1000,505,50.5,0.06112715458869934
30,70,1000,652,65.2,0.061792288064956666
30,100,846,624,73.75886524822694,0.06244335642379508
