noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,345,34.5,0.08768890833854676
0,30,1000,576,57.599999999999994,0.08592171263694763
0,50,1000,771,77.10000000000001,0.08504213070869446
0,70,1000,847,84.7,0.08892607998847961
0,100,944,883,93.53813559322035,0.0831118003796723
5,10,1000,331,33.1,0.08262820768356323
5,30,1000,550,55.00000000000001,0.08338916277885437
5,50,1000,742,74.2,0.08021951508522034
5,70,1000,826,82.6,0.08355955791473389
5,100,944,860,91.10169491525424,0.08712146620629198
10,10,1000,315,31.5,0.08348068642616271
10,30,1000,525,52.5,0.08130689382553101
10,50,1000,707,70.7,0.08228762006759643
10,70,1000,793,79.3,0.07959559941291809
10,100,944,836,88.5593220338983,0.07829180031509722
15,10,1000,291,29.099999999999998,0.07956816935539246
15,30,1000,535,53.5,0.07799238538742065
15,50,1000,686,68.60000000000001,0.08347710251808166
15,70,1000,789,78.9,0.08361984372138977
15,100,944,797,84.42796610169492,0.08399983053490268
20,10,1000,305,30.5,0.08268937826156617
20,30,1000,491,49.1,0.08172414112091064
20,50,1000,627,62.7,0.0821408805847168
20,70,1000,744,74.4,0.08081514668464661
20,100,944,819,86.75847457627118,0.08176794850220115
30,10,1000,269,26.900000000000002,0.08046757888793946
30,30,1000,443,44.3,0.08001644968986511
30,50,1000,589,58.9,0.07989491891860961
30,70,1000,668,66.8,0.08250972890853882
30,100,944,709,75.10593220338984,0.07971862463627831
