noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,404,40.400000000000006,0.08395825386047363
0,30,1000,665,66.5,0.08347582364082337
0,50,1000,782,78.2,0.08420087409019471
0,70,1000,872,87.2,0.0846116816997528
0,100,944,859,90.9957627118644,0.08896881240909382
5,10,1000,382,38.2,0.08388734078407288
5,30,1000,632,63.2,0.0837214412689209
5,50,1000,769,76.9,0.08262731003761291
5,70,1000,848,84.8,0.08325054264068603
5,100,944,850,90.04237288135593,0.08572873776241885
10,10,1000,370,37.0,0.08340697002410889
10,30,1000,598,59.8,0.0826862063407898
10,50,1000,720,72.0,0.08335626745224
10,70,1000,822,82.19999999999999,0.08699568605422973
10,100,944,836,88.5593220338983,0.08579917933981297
15,10,1000,364,36.4,0.08465146708488465
15,30,1000,579,57.9,0.0855680730342865
15,50,1000,730,73.0,0.08547116494178772
15,70,1000,789,78.9,0.08567168259620667
15,100,944,811,85.91101694915254,0.08581245930518135
20,10,1000,339,33.900000000000006,0.6307297358512879
20,30,1000,534,53.400000000000006,0.08216872525215149
20,50,1000,674,67.4,0.08482648730278015
20,70,1000,768,76.8,0.08639743781089783
20,100,944,770,81.5677966101695,0.09095655962572259
30,10,1000,311,31.1,0.09488955688476562
30,30,1000,481,48.1,0.09446003603935242
30,50,1000,606,60.6,0.09683431029319763
30,70,1000,696,69.6,0.14861880826950075
30,100,944,736,77.96610169491525,0.6833258321729757
