noise_level,observation_percentage,total_problems,correct_predictions,accuracy,avg_execution_time
0,10,1000,462,46.2,0.07792281365394592
0,30,1000,758,75.8,0.07707937860488892
0,50,1000,870,87.0,0.07745553612709045
0,70,1000,952,95.19999999999999,0.0776555392742157
0,100,944,931,98.62288135593221,0.08114928941605455
5,10,1000,442,44.2,0.07881906366348267
5,30,1000,742,74.2,0.07842769169807434
5,50,1000,858,85.8,0.07616823744773865
5,70,1000,934,93.4,0.07846182632446289
5,100,944,915,96.92796610169492,0.07906088738118187
10,10,1000,433,43.3,0.07860904741287232
10,30,1000,718,71.8,0.0771544783115387
10,50,1000,826,82.6,0.07640859150886535
10,70,1000,928,92.80000000000001,0.0784269208908081
10,100,944,905,95.86864406779661,0.0812237626415188
15,10,1000,411,41.099999999999994,0.07806434059143066
15,30,1000,671,67.10000000000001,0.07962475085258484
15,50,1000,803,80.30000000000001,0.08026824688911438
15,70,1000,900,90.0,0.07954626774787903
15,100,944,896,94.91525423728814,0.07931672693309137
20,10,1000,379,37.9,0.08035158157348633
20,30,1000,685,68.5,0.626903689622879
20,50,1000,790,79.0,0.08276913237571716
20,70,1000,872,87.2,0.08047752332687377
20,100,944,881,93.32627118644068,0.08062533781690112
30,10,1000,365,36.5,0.08748539113998413
30,30,1000,639,63.9,0.08977282762527466
30,50,1000,709,70.89999999999999,0.08813738536834717
30,70,1000,818,81.8,0.1102191219329834
30,100,944,834,88.34745762711864,0.13307568203594725
